,0.1,0.05,0.01
XEL,-0.012246356629411693,-0.015894612853226218,-0.022738134794196275
FE,-0.0147318718963393,-0.019049683324273252,-0.027149179475654175
PPG,-0.015578619472831614,-0.0201053097988938,-0.028596628024890852
SRE,-0.014218569936568387,-0.018404578403457796,-0.026256834119831644
PEP,-0.010777649483484766,-0.013935963412189526,-0.01986043508895221
PFE,-0.014209010352109969,-0.018310687638374724,-0.026004752084863112
EXC,-0.013327816389425108,-0.017264312903755123,-0.024648525693009914
MO,-0.01804033484119934,-0.02314204003603526,-0.03271199052616714
COP,-0.024898773379799215,-0.03210425213200642,-0.045620531940984664
PG,-0.011418755079415045,-0.014798530430862994,-0.02113842690584251
PEG,-0.01287796463715533,-0.016665706779403967,-0.023770881105705147
AXP,-0.015261195995525403,-0.019779307069349644,-0.02825453204494826
AIG,-0.017545852484321403,-0.0224973134744295,-0.03178543082333442
AAPL,-0.018122292962328482,-0.02358492957811782,-0.03383192738810531
ADM,-0.01653572722327567,-0.02131611941044677,-0.03028334013518565
ADP,-0.015679853635041603,-0.020349449553715412,-0.02910883490508076
BAX,-0.014627331299203362,-0.019019098410108633,-0.027257323123307635
BDX,-0.01544067669756807,-0.020005079109816425,-0.02856713893766976
BF.B,-0.027853804070756955,-0.035735151395283146,-0.05051924824344976
CI,-0.020061538619459474,-0.025880428205123956,-0.036795697338809
CSX,-0.020459425324891478,-0.026594448838238725,-0.03810273264459385
JPM,-0.015602065413188152,-0.020266480432786633,-0.02901614727911264
CLX,-0.014646216515803253,-0.018873205213200506,-0.026802333026658926
CAG,-0.022070957491586343,-0.028314514848615614,-0.04002639009565063
TAP,-0.019202344332476542,-0.0245219743371611,-0.03450071552788735
CMI,-0.01790552828609073,-0.023216659198107656,-0.03317945750445818
TGT,-0.022579275764461462,-0.029191239859637955,-0.04159418487837766
DIS,-0.015140100228621601,-0.019546413105167047,-0.027811923255626998
DUK,-0.01154935414836361,-0.014905496738902697,-0.021201062084738993
EMR,-0.016815282258106627,-0.021743290403499378,-0.030987414116118567
NEE,-0.011273245733435635,-0.014722749779457572,-0.021193445689004588
FDX,-0.019669437435416333,-0.025284933695366277,-0.03581867077598763
GIS,-0.01666985710193888,-0.021398712197474728,-0.03026925790934654
GPC,-0.015451576457994047,-0.01991554554954963,-0.028289209170667566
GWW,-0.022171206572057563,-0.02864892880208077,-0.040800058407315154
HPQ,-0.022968905778855096,-0.029688784923162393,-0.0422941606269145
INTC,-0.018996632237864162,-0.024574898267764267,-0.03503879762850447
IFF,-0.018565834144874248,-0.023881014373109653,-0.033851408523251574
JNJ,-0.011985402022942413,-0.015496723791908465,-0.022083379468904735
LLY,-0.01693160672530282,-0.021886204098787172,-0.031180204781299695
LB,-0.0339993153144518,-0.04326267306937566,-0.06063919164530871
LNC,-0.022520969348481384,-0.029000347219594706,-0.04115458253216746
MAS,-0.018967569110726498,-0.02453154833945002,-0.034968648037195064
MCD,-0.012246220611330025,-0.015878170454679996,-0.022691104337783236
BAC,-0.020542911041413613,-0.026619554041656873,-0.038018325714586666
NEM,-0.02603667092747188,-0.03372639266795748,-0.048151031789368866
WFC,-0.01693647903789547,-0.021765198742405078,-0.030823073852408855
OXY,-0.0207332664719199,-0.026504208322054107,-0.03732953547798569
PCAR,-0.019071538651552693,-0.024661455172199597,-0.03514720891600871
ROK,-0.020244282145580036,-0.026218265840283878,-0.03742446572910548
SLB,-0.022119911798993603,-0.028275710453075278,-0.03982296496837205
SHW,-0.016364544020108403,-0.021257821474837832,-0.030436796187771096
SNA,-0.01730672327718217,-0.02223853012822568,-0.03148977958088982
EIX,-0.018359760540844237,-0.023664403494877584,-0.033615031471051486
SO,-0.011528042509582672,-0.014895811676872001,-0.021213186547096762
SWK,-0.019173690569300517,-0.024771272426303167,-0.0352714050663074
TXN,-0.018394129586182608,-0.02388537634268453,-0.034186042018547996
TXT,-0.02018643487580652,-0.025966109244161463,-0.03680781715198579
UNP,-0.01764768386992315,-0.02292030295559533,-0.03281085948055542
VFC,-0.019709720229790003,-0.02547206308106101,-0.03628125994520919
WMT,-0.015161235480536824,-0.019673017007056023,-0.02813636880456596
WBA,-0.019369427214473104,-0.024792709560743417,-0.034965885306050735
WY,-0.017977771099826432,-0.023106217550391685,-0.032726330188981835
WHR,-0.02249118419723177,-0.028915441142463336,-0.04096627876514359
WMB,-0.03220743655507156,-0.041403421229395915,-0.05865355911081971
XRX,-0.11730690128206431,-0.15140879714560682,-0.21537828236087925
AMD,-0.04814451731292472,-0.06281171662476473,-0.09032494325833929
ALK,-0.022447791822679686,-0.02881015625370212,-0.04074489381295832
AON,-0.012101966859722505,-0.01578084632331752,-0.02268181236922005
DXC,-0.030581954340937557,-0.03937116737664486,-0.05585826931347989
COO,-0.016533631579594057,-0.021494728337421887,-0.03080092078406189
DD,-0.05130028518923403,-0.0660634764506102,-0.09375676801726676
ATO,-0.012196955090706535,-0.015827082321965398,-0.02263659728790105
AJG,-0.01156425700659414,-0.015096980965391981,-0.021723783591153147
LHX,-0.017000325445621273,-0.022084234638752805,-0.03162080278930818
HLT,-0.04503028019423809,-0.05838879548932775,-0.08344714855235477
HFC,-0.0286040967484086,-0.03684973429275406,-0.05231717900885287
TT,-0.015968250306366633,-0.020771646306005566,-0.02978201835721158
EVRG,-0.012129165477045905,-0.01570085722121952,-0.022400756931683603
RJF,-0.019988414127273594,-0.025821252729074977,-0.03676268789719714
ROL,-0.020908123234068845,-0.026948780665002225,-0.03828004939460175
AOS,-0.028712514586269007,-0.036811488989371366,-0.05200381804378034
TFX,-0.017962741948615597,-0.023382723448708204,-0.03354970735554392
GL,-0.013306473723388067,-0.01727339539955477,-0.02471468073246146
UDR,-0.013986152511239053,-0.018028192791953244,-0.025610388134151507
RTX,-0.015395893233308292,-0.019912457257794978,-0.02838478022612333
LNT,-0.023669745695212636,-0.030407355087080496,-0.04304598978657075
JKHY,-0.013101603109316457,-0.017011719330247546,-0.024346447076344913
COTY,-0.03389091870178767,-0.04336086618614535,-0.061124912736931325
IT,-0.017644428279166076,-0.022825155870252477,-0.03254333923367821
NVR,-0.02016197433203066,-0.026156557030095867,-0.03740139722344034
PEAK,-0.018981696540929852,-0.024367280570969683,-0.034469740544567536
CDNS,-0.020215449560152234,-0.026339166451535435,-0.037826240915469905
DRE,-0.014167671233488803,-0.018343842356192696,-0.026177644850905464
ABMD,-0.03294699700766945,-0.042567887052322964,-0.060615076743239245
MXIM,-0.020081729184489673,-0.02595213020778242,-0.036964026231683884
FRC,-0.01831613587293823,-0.02370688826717482,-0.03381904323246447
MGM,-0.0243676278772857,-0.03144547655453663,-0.044722343568824256
WRB,-0.01847298547326832,-0.023811935147686477,-0.03382691682581356
IEX,-0.014469453483592219,-0.018822903684684516,-0.026989252247490467
SIVB,-0.028366588787310704,-0.036698054768212515,-0.052326499357318715
TMUS,-0.01846745135473106,-0.023931094703524208,-0.03417998097719891
IQV,-0.01811009757128587,-0.02350529212021748,-0.03362577982894826
TWTR,-0.03957170343037768,-0.051026361514685446,-0.07251339507734111
PAYC,-0.030073872680818126,-0.03924082962856577,-0.05643651632248044
KEYS,-0.022001524350823396,-0.02865045697960778,-0.04112274881922582
ANET,-0.0327485512123746,-0.04240625753435292,-0.06052250843868192
HOLX,-0.019390000321163097,-0.02500587661395442,-0.03554032657298362
CFG,-0.02097362986105983,-0.02708734537442964,-0.03855565891652211
IDXX,-0.019851483530914593,-0.025881401186858027,-0.037192523884688994
ZBRA,-0.026762935870856975,-0.034792359038475586,-0.04985422154205746
ODFL,-0.02005095755995516,-0.02610507989684962,-0.03746160655070792
SNPS,-0.016273817764326688,-0.021230806190705814,-0.03052929209079723
STE,-0.015463762790900252,-0.020073030261856962,-0.028719249478420257
CDW,-0.018911897233313293,-0.024656718141656302,-0.03543304675491425
REG,-0.014832225994347093,-0.019030307700641333,-0.02690521080625999
INCY,-0.03295509718740653,-0.04233894527049573,-0.05994148366353803
MAA,-0.013873094358600412,-0.017927274564999374,-0.025532242388813138
ALB,-0.024412699444550604,-0.031461169788008204,-0.0446829279339572
CPRT,-0.026228860959241547,-0.03399663201069099,-0.04856767865923056
RMD,-0.018126750364187618,-0.023599037346956227,-0.03386413764046173
DISH,-0.026897344068611637,-0.034453181913876266,-0.048626677113842
WAB,-0.02320671187740749,-0.029862381289385908,-0.0423473102138937
RE,-0.016175284395497664,-0.020903938960041835,-0.029774108509123206
ANSS,-0.01916602230729071,-0.024925614242599866,-0.03572965084590348
TTWO,-0.027101080454793192,-0.03521495996468521,-0.050435248520590184
ARE,-0.013796300304346582,-0.01788811473031048,-0.025563678091148952
MTD,-0.016723507021387377,-0.021735394645275026,-0.031136862309706012
NCLH,-0.024259647809485748,-0.031193292758118267,-0.044199657559779504
SBAC,-0.017084638737282956,-0.022189094128441316,-0.03176420352949391
CHTR,-0.021883577345306927,-0.028410045003076846,-0.04065261292399997
PKG,-0.018830345147384818,-0.024367255273405667,-0.03475357783629408
ALGN,-0.031599415455854804,-0.04106355623492994,-0.05881671037230854
GPN,-0.018461350804123613,-0.024023436632149172,-0.03445698462507288
CNC,-0.03283590712699351,-0.04225193084580288,-0.059914825380384326
TDG,-0.020385430890554505,-0.026458375676571593,-0.037850210114656425
LKQ,-0.019713699588988,-0.025392000211807576,-0.03604354783229216
MKTX,-0.02024624897321902,-0.026372315805200018,-0.037863798366881585
DLR,-0.017269244346361484,-0.022321806632502172,-0.031799573198790225
LVS,-0.022606406630673006,-0.02919674523693052,-0.04155912443495424
CE,-0.018483042162654572,-0.02392815198958538,-0.034142272458522895
INFO,-0.03373037771240917,-0.043348930930166625,-0.06139173712245936
UAA,-0.04210540752777145,-0.053834446558595074,-0.07583617314511466
LDOS,-0.020071930444289655,-0.02596164938761705,-0.03700978261677511
LYV,-0.0212820192472807,-0.027662827403970643,-0.03963216232523639
FANG,-0.02878463766308597,-0.037107046947775224,-0.052718502680989446
NOW,-0.0306673531338096,-0.039788984739767205,-0.05689964863045954
IPGP,-0.03327160556007757,-0.04294241714412845,-0.06108325134059309
BR,-0.01487182747208145,-0.019346274238732607,-0.027739592235806604
CXO,-0.03162994332378676,-0.0406598662027974,-0.05759849977365002
MSCI,-0.018732069211114317,-0.024439471254384712,-0.035145608299830336
ULTA,-0.02678888584803947,-0.03453906869258875,-0.04907712279004654
AWK,-0.012743200638363763,-0.016576171128700457,-0.023766186314169917
FTNT,-0.026745378127174566,-0.034749529070879324,-0.049763985085376744
CBOE,-0.017536769979824708,-0.02270876966012838,-0.032410580914448796
FLT,-0.020589791116330504,-0.026666479915620284,-0.03806533749994459
HII,-0.01957649439313134,-0.025360099202584703,-0.0362091799642451
FBHS,-0.018442195746911843,-0.023749699767722513,-0.03370569462935183
AAL,-0.02866110984574712,-0.03674894385829833,-0.05192037539277159
SWKS,-0.025995660977068232,-0.03356028714558592,-0.047750267778404236
AME,-0.015101826330776051,-0.019584161138616243,-0.027992275789114986
BRK.B,-0.012084465510298105,-0.015680043473496025,-0.022424749758375738
CHD,-0.025520237086840973,-0.03278179805412754,-0.04640327877166271
DAL,-0.021565912756405764,-0.02776842661710238,-0.03940331109088711
DG,-0.019199103387006537,-0.024901326344383065,-0.035597748286016216
FMC,-0.021973488340176546,-0.0285200614139123,-0.0408003437514919
FRT,-0.013957134982772668,-0.01789398133526932,-0.02527885036274376
GM,-0.021211498127006217,-0.027287750249145412,-0.038685788699758215
WELL,-0.01602851900552929,-0.020645875292773775,-0.029307267783456502
KHC,-0.02181314652390177,-0.027808737798635068,-0.0390554699140743
HP,-0.029996693925114892,-0.03853032827626463,-0.05453800710569927
HRL,-0.026505433525669995,-0.033940118421945206,-0.04788635083833502
JBHT,-0.01971793267467281,-0.02547915922100687,-0.036286262082744
KMI,-0.02186122458928256,-0.02819813381015135,-0.04008512162856937
KSU,-0.01943716962129972,-0.025190960388320072,-0.035984114964695724
